run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay,src_id
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BELFAST INTERNATIONAL,EASYJET UK LTD,D,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,21.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,AER LINGUS,A,S,10,0,4,7.142857,21.428571,21.428571,14.285714,0.0,7.142857,0.0,0.0,0.0,0.0,28.571429,14.0,1,0.0,21.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,AER LINGUS,D,S,11,0,4,0.0,26.666667,13.333333,13.333333,13.333333,6.666667,0.0,0.0,0.0,0.0,26.666667,19.0,1,0.0,28.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,EMERALD AIRLINES UK LTD,A,S,135,0,5,6.428571,52.142857,15.714286,6.428571,8.571429,3.571429,2.857143,0.714286,0.0,0.0,3.571429,16.0,113,73.728814,17.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,EMERALD AIRLINES UK LTD,D,S,135,0,4,0.719424,48.920863,21.582734,10.071942,8.633094,3.597122,2.877698,0.719424,0.0,0.0,2.877698,16.0,115,75.0,14.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BRISTOL,AER LINGUS,A,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BRISTOL,EASYJET UK LTD,A,S,19,0,0,21.052632,31.578947,21.052632,15.789474,0.0,5.263158,0.0,5.263158,0.0,0.0,0.0,27.0,18,94.444444,4.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BRISTOL,EASYJET UK LTD,D,S,19,0,0,0.0,47.368421,10.526316,26.315789,5.263158,5.263158,0.0,5.263158,0.0,0.0,0.0,32.0,18,84.210526,6.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,CARDIFF WALES,AER LINGUS,A,S,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,CARDIFF WALES,AER LINGUS,D,S,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,CARDIFF WALES,EMERALD AIRLINES UK LTD,A,S,29,0,1,33.333333,33.333333,13.333333,3.333333,3.333333,3.333333,3.333333,3.333333,0.0,0.0,3.333333,19.0,22,50.0,35.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,CARDIFF WALES,EMERALD AIRLINES UK LTD,D,S,29,0,1,3.333333,53.333333,20.0,3.333333,6.666667,3.333333,3.333333,3.333333,0.0,0.0,3.333333,20.0,22,54.545455,37.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EMERALD AIRLINES UK LTD,A,S,13,0,0,23.076923,53.846154,7.692308,0.0,0.0,7.692308,7.692308,0.0,0.0,0.0,0.0,15.0,42,79.545455,13.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EMERALD AIRLINES UK LTD,D,S,13,0,0,7.692308,61.538462,7.692308,7.692308,7.692308,7.692308,0.0,0.0,0.0,0.0,0.0,14.0,43,81.818182,14.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,AER LINGUS,A,S,16,0,2,11.111111,33.333333,27.777778,5.555556,11.111111,0.0,0.0,0.0,0.0,0.0,11.111111,9.0,6,46.153846,2.0,
